,Unnamed: 0,product_name,product_price,weight,category,EAN,date_added,product_code
0,0,FurReal Dazzlin' Dimples My Playful Dolphin,£39.99,1.6kg,toys-and-games,7425710935115,2005-12-02,R7-3126933h
1,1,Tiffany's World Day Out At The Park,£12.99,0.48kg,toys-and-games,487128731892,2006-01-09,C2-7287916l
2,2,Tiffany's World Pups Picnic Playset,£7.00,590g,toys-and-games,1945816904649,1997-03-29,S7-1175877v
3,3,Tiffany's World Wildlife Park Adventures,£12.99,540g,toys-and-games,1569790890899,2013-03-20,D8-8421505n
4,4,Cosatto Cosy Dolls Pram,£30.00,1.91kg,toys-and-games,7142740213920,2007-12-23,B6-2596063a
5,5,Cocomelon Magnetic Scribbler,£12.99,0.91kg,toys-and-games,9022505507373,2007-02-07,g3-7974400s
6,6,Peppa Pig House Felties,£7.00,0.46kg,toys-and-games,5997977455405,2009-01-24,U3-5148457q
7,7,Paw Patrol Walkie Talkies,£12.99,0.38kg,toys-and-games,58555395171,2013-08-13,q8-5387483Z
8,8,Peppa Pig 3D Walkie Talkies,£12.99,0.38kg,toys-and-games,9155372675699,2005-05-26,i4-2651057I
9,9,Disney Encanto Magical Casa Madrigal,£89.99,8.981kg,toys-and-games,2740880244498,2003-08-05,b6-6234052g
10,10,Disney Encanto Mirabel's Room,£24.99,1.478kg,toys-and-games,9821316839389,2013-09-20,g5-411324A
11,11,Disney Encanto Isabela's Garden Room,£24.99,1.2g,toys-and-games,9644535434254,2019-08-14,S6-3678717g
12,12,Disney Encanto Antonio's Tree House,£24.99,1.2g,toys-and-games,2421335285067,2019-04-13,Z2-0851042W
13,13,Tie-Dye Slime Mega Set,£12.99,0.66kg,toys-and-games,9526390929079,2014-05-20,t5-7763922W
14,14,Paw Patrol Magnetic Scribbler,£12.99,0.91kg,toys-and-games,7886193859037,2003-12-21,Z8-4148279f
15,15,Light Up Secret Hideout Tent,£22.00,1.8kg,toys-and-games,8231049510317,2019-02-17,l4-0484985I
16,16,Light Up Army Hideout Tent,£22.00,1.9kg,toys-and-games,9963791896324,2007-02-13,P1-5362711n
17,17,Tiffany's World Fabulous Food Truck,£20.00,1.725kg,toys-and-games,5348126886814,1996-08-19,v7-6917295v
18,18,Treasure X Dino Gold Pterodactyl Dino Dissection,£16.99,0.54kg,toys-and-games,1156454414579,2003-11-12,D0-3518057L
19,19,My Crawling Bear,£12.99,0.322kg,toys-and-games,159264905771,2000-04-19,w1-22434p
20,20,FurReal Dazzlin' Dimples My Playful Dolphin,£39.99,1.6kg,toys-and-games,1155552934996,2021-04-10,W4-8185499V
21,21,Carnival Coin Push Machine,£12.99,0.71kg,toys-and-games,1202239854778,2007-05-16,Y1-0776845n
22,22,Paw Patrol Casting Station,£12.99,0.88kg,toys-and-games,1091303301405,2003-08-28,l7-1024003n
23,23,Marvel Spidey & His Amazing Friends Super Pinball,£12.99,0.67kg,toys-and-games,400252313031,2021-11-08,w9-8766704u
24,24,Electronic Ball Blaster,£25.00,11.076kg,toys-and-games,4353202276862,2010-07-12,f1-4722530k
25,25,Multifunction Keyboard,£45.00,4kg,toys-and-games,9243639708928,2022-12-13,w4-86578A
26,26,LEGO Star Wars Obi-Wan Kenobi Jedi Starfighter,£24.99,0.385kg,toys-and-games,6979223581877,2011-07-24,E4-7336898r
27,27,Cra-Z-Compounds Kit,£12.99,1.38kg,toys-and-games,231006035745,2011-08-02,y2-2987173c
